gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
1,0,1,1,65,1,1,2,1,1,1,1,0,0,2,0,3,94.55,6078.75
1,0,0,0,26,0,2,1,0,0,1,1,0,0,0,0,0,35.75,1022.5
0,0,1,0,68,1,1,2,0,1,1,1,0,0,2,0,3,90.2,6297.65
1,0,0,0,3,1,0,2,0,1,0,0,0,1,0,0,0,84.3,235.05
0,0,1,0,49,0,2,1,1,0,0,0,1,0,0,0,2,40.65,2070.75
0,1,1,0,64,1,0,2,1,1,1,0,0,1,1,0,2,97.0,6430.9
1,0,0,0,7,1,0,1,0,0,1,1,1,0,0,0,2,64.3,445.95
1,0,0,0,22,1,0,2,0,1,0,0,1,1,0,1,1,93.2,2157.3
1,0,1,1,31,1,0,1,0,0,1,1,0,0,0,0,1,54.35,1647.0
0,0,0,0,6,0,2,1,0,0,1,0,1,1,0,1,0,47.95,305.1
1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,19.2,19.2
0,0,0,0,6,1,1,2,1,0,0,0,0,0,0,1,0,79.05,434.5
0,0,0,0,12,1,1,2,1,0,0,0,0,0,0,1,0,79.8,1001.2
0,0,1,0,61,1,1,2,0,0,1,1,1,1,0,1,0,106.35,6751.35
0,0,0,0,43,1,0,0,0,0,0,0,0,0,2,1,2,19.65,779.25
0,1,0,0,30,0,2,1,0,0,1,0,1,0,0,1,0,40.3,1172.95
1,0,0,0,22,1,0,1,0,1,0,1,0,0,1,1,3,55.15,1193.05
0,0,1,1,52,1,1,0,0,0,0,0,0,0,2,0,1,23.05,1255.1
0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,56.25,56.25
0,0,0,0,57,1,1,2,0,1,0,1,0,1,1,0,0,94.7,5468.95
0,0,1,0,72,0,2,1,0,1,1,0,1,1,2,1,0,54.2,3937.45
0,0,0,0,42,1,0,2,0,1,1,1,1,1,0,1,2,103.8,4327.5
0,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,1,19.8,272.95
1,0,1,1,64,1,0,2,1,1,0,0,0,0,0,0,0,81.05,5135.35
1,1,1,1,47,1,0,2,0,1,0,0,1,0,1,1,2,84.95,4018.05
0,0,1,1,2,0,2,1,0,0,0,1,0,0,0,0,2,29.05,44.75
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.2,20.2
1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,50.7,50.7
0,0,1,1,72,1,1,2,1,1,1,1,1,1,2,1,2,113.1,8248.5
0,0,1,1,32,1,1,2,1,0,0,0,1,0,0,0,0,89.6,2901.8
0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,1,0,74.45,74.45
0,0,1,0,71,0,2,1,1,1,1,1,0,0,2,1,2,47.6,3377.8
1,0,1,1,15,1,0,2,1,0,0,0,0,0,0,0,1,75.1,1151.55
1,0,1,0,47,1,1,2,0,0,0,0,1,1,1,1,3,95.2,4563.0
1,0,1,1,34,1,1,2,0,1,0,0,1,1,0,1,2,97.7,3410.0
1,0,1,1,50,1,1,2,0,1,1,0,1,1,0,1,2,103.85,5017.9
1,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,3,20.0,198.7
0,1,0,0,8,1,0,2,0,0,1,0,1,1,0,1,0,92.1,729.95
1,0,1,1,23,1,0,0,0,0,0,0,0,0,1,0,1,19.65,436.9
1,0,0,0,7,1,0,2,0,0,1,0,0,0,0,1,0,74.9,490.55
1,0,1,0,23,1,1,2,0,1,1,0,0,0,0,0,0,84.25,1968.1
0,0,1,1,72,1,1,1,1,1,1,1,1,1,2,0,3,90.95,6652.45
0,0,0,0,30,1,0,2,0,0,0,1,1,0,0,0,0,85.15,2555.9
0,1,1,0,31,0,2,1,1,1,1,0,0,1,1,1,3,50.4,1580.1
1,0,0,0,3,1,1,2,0,1,1,0,1,1,0,0,1,107.95,313.6
0,1,0,0,24,1,0,0,0,0,0,0,0,0,0,1,1,20.3,459.95
1,0,0,0,62,1,0,1,1,1,0,0,1,1,1,1,3,74.3,4698.05
1,0,1,1,37,0,2,1,1,1,1,0,0,0,0,0,2,40.2,1448.8
0,0,0,0,62,1,0,0,0,0,0,0,0,0,2,1,3,19.2,1123.65
1,0,0,0,11,1,0,2,1,0,0,0,0,0,0,1,0,73.5,791.75
0,0,0,0,10,0,2,1,0,1,0,1,0,0,0,0,0,36.25,374.0
0,0,0,0,37,1,1,2,0,1,1,0,1,1,0,1,2,101.9,3545.35
1,1,0,0,72,1,1,0,0,0,0,0,0,0,2,1,3,25.1,1789.9
1,0,0,0,19,1,1,2,1,0,1,0,0,0,0,1,0,84.75,1651.95
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,19.6,19.6
0,0,1,0,23,1,1,1,0,0,0,1,1,1,0,1,3,73.65,1642.75
0,1,1,0,43,1,1,2,1,0,1,1,1,1,1,1,1,109.55,4830.25
1,0,0,0,46,1,1,2,0,1,1,0,1,0,1,1,3,94.9,4422.95
1,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,1,20.4,184.1
0,0,1,1,24,1,0,0,0,0,0,0,0,0,2,1,1,19.7,494.05
0,1,0,0,8,1,1,2,0,0,0,1,1,1,0,1,3,100.15,908.55
0,0,1,1,10,1,1,2,0,0,0,0,0,1,0,0,0,85.95,858.6
1,0,1,1,71,1,0,1,1,0,1,1,0,1,2,1,3,70.85,4973.4
0,0,1,1,5,0,2,1,0,1,0,0,0,0,0,1,0,30.5,167.2
1,1,1,0,41,1,1,2,1,0,1,0,0,0,0,1,2,83.75,3273.55
1,0,1,1,58,1,1,1,1,1,1,1,0,0,2,0,3,71.6,4230.25
0,0,0,0,3,1,0,1,0,0,1,0,1,1,1,1,0,69.95,220.45
1,0,1,1,67,1,0,0,0,0,0,0,0,0,2,1,3,19.4,1284.2
0,0,0,0,13,0,2,1,1,0,0,0,0,0,0,1,2,30.85,394.1
1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,20.2,20.2
1,0,1,1,71,1,0,2,1,1,1,1,1,0,2,0,3,100.2,7209.0
1,0,0,0,8,1,0,1,0,0,0,0,0,1,0,1,3,54.75,438.05
1,0,0,0,28,1,0,2,0,1,0,1,1,0,1,1,2,91.25,2483.65
0,0,1,0,71,1,1,0,0,0,0,0,0,0,2,0,1,23.85,1672.1
1,0,0,0,67,1,1,2,1,1,1,1,1,1,1,1,2,118.35,7804.15
1,0,1,1,63,1,1,1,1,1,1,1,1,1,2,1,3,89.4,5597.65
1,0,0,0,5,1,0,2,0,0,0,0,1,0,0,1,0,80.6,415.55
0,0,0,0,37,1,1,1,1,1,1,1,1,0,0,1,3,78.9,2976.95
0,0,1,0,53,1,1,2,0,1,1,1,1,1,1,1,2,111.8,5809.75
0,0,0,1,12,1,0,1,0,0,0,0,0,0,0,1,0,44.55,480.6
0,0,0,0,70,1,0,0,0,0,0,0,0,0,1,0,2,19.7,1341.5
1,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,74.4,229.55
1,0,1,0,14,1,1,2,0,1,1,0,0,0,0,1,0,82.65,1185.0
0,0,0,0,61,0,2,1,1,1,1,1,0,0,1,0,3,43.7,2696.55
1,0,0,0,4,1,0,2,0,0,0,0,1,1,0,1,0,88.45,370.65
0,0,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,90.6,90.6
0,1,0,0,10,0,2,1,0,0,0,1,0,0,0,1,0,29.65,291.4
1,0,0,1,23,1,0,1,0,1,0,1,0,0,0,1,2,55.3,1284.2
1,0,0,1,27,1,0,0,0,0,0,0,0,0,2,0,1,20.6,581.85
0,1,1,0,72,1,1,1,1,1,1,1,0,1,2,0,2,78.45,5682.25
1,0,1,1,66,0,2,1,0,0,0,1,1,1,2,0,2,50.55,3364.55
1,0,1,1,35,1,1,2,0,1,1,1,1,1,0,1,0,109.95,3782.4
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,45.3,45.3
1,1,0,0,12,1,1,2,0,0,0,0,0,0,0,1,3,73.3,828.05
1,0,0,0,26,0,2,1,1,1,0,0,0,1,0,1,2,44.65,1156.55
0,0,0,0,18,0,2,1,0,0,1,1,0,0,0,1,0,35.2,607.3
1,0,1,0,3,0,2,1,0,1,0,0,0,0,0,0,3,29.8,94.4
0,0,0,0,67,1,0,0,0,0,0,0,0,0,1,0,0,20.55,1343.4
0,0,1,1,12,1,0,0,0,0,0,0,0,0,2,0,2,20.3,224.5
0,1,1,0,32,1,1,2,0,0,0,0,1,0,0,1,3,85.95,2628.6
1,1,0,0,9,1,1,2,0,0,0,0,0,1,0,1,0,85.05,746.5
1,1,1,1,52,1,1,1,0,1,1,0,1,1,1,1,0,80.85,4079.55
0,0,0,0,17,1,0,0,0,0,0,0,0,0,1,0,3,20.05,337.9
1,1,0,0,70,0,2,1,0,0,0,0,1,1,1,1,0,45.25,3264.45
0,0,0,1,14,1,1,2,1,0,0,1,0,0,0,1,1,86.0,1164.05
0,0,1,1,18,1,0,1,1,1,0,1,0,0,1,1,1,61.5,1087.45
1,0,0,0,46,0,2,1,1,0,1,1,1,1,2,1,2,60.75,2893.4
1,1,1,0,13,1,0,2,0,1,1,0,1,1,0,1,0,98.0,1237.85
1,0,0,0,19,1,0,2,0,0,0,0,1,0,0,1,2,78.7,1495.1
0,0,0,0,3,1,0,1,1,1,0,1,0,1,2,0,1,71.1,213.35
1,0,1,1,62,1,0,0,0,0,0,0,0,0,2,0,3,20.65,1218.45
0,1,0,0,38,1,0,0,0,0,0,0,0,0,2,0,1,20.2,735.9
1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,19.25,112.3
0,0,0,0,46,1,0,1,0,0,0,0,0,1,1,0,3,55.65,2688.85
0,0,0,1,12,1,1,2,1,0,0,0,0,0,0,1,0,78.3,909.25
1,0,1,0,10,1,0,0,0,0,0,0,0,0,1,0,2,19.6,189.45
1,0,0,0,9,1,0,2,0,0,1,0,0,0,0,1,0,73.8,704.3
1,0,0,0,24,1,0,1,1,0,0,0,0,0,0,1,0,51.15,1275.7
0,0,1,0,4,1,1,2,0,1,0,0,1,0,0,1,0,91.65,365.4
0,0,0,0,46,1,1,2,1,1,0,0,0,0,0,0,1,84.25,3847.6
0,1,0,0,67,1,0,2,1,1,0,1,1,0,2,1,2,92.45,6140.85
0,0,1,1,14,1,1,1,0,1,0,1,1,1,0,0,3,80.45,1137.05
0,0,1,1,44,1,0,0,0,0,0,0,0,0,0,0,1,19.6,780.25
0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,19.05,157.65
0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,0,81.95,81.95
0,0,1,0,57,1,1,2,0,1,1,1,1,1,1,1,2,109.4,6252.7
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,20.1,20.1
1,1,1,0,69,1,1,2,0,1,1,1,1,1,2,1,0,109.95,7634.25
0,0,1,1,65,1,1,2,1,0,1,1,1,1,2,0,0,109.3,7337.55
1,0,1,0,52,1,1,2,1,0,1,1,0,0,2,1,3,91.6,4627.8
0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,3,20.15,68.45
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18.85,18.85
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,45.75,45.75
1,0,1,0,72,1,1,2,1,1,1,0,0,1,2,1,0,99.15,7422.1
0,0,0,0,53,0,2,1,1,1,1,1,1,0,1,1,0,53.6,2879.2
1,0,0,1,72,0,2,1,1,1,1,1,1,1,2,0,3,67.2,4671.7
0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,69.65,145.15
1,1,0,0,72,1,1,2,1,1,1,1,1,1,2,0,2,113.8,7845.8
1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,45.85,45.85
0,0,1,1,67,1,1,0,0,0,0,0,0,0,2,1,1,24.9,1680.25
0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,1,20.1,407.05
0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,70.35,139.05
0,0,0,0,12,1,1,1,0,0,0,1,1,1,1,0,1,74.05,872.65
0,0,0,0,42,1,0,1,0,0,1,1,0,1,2,0,3,66.5,2762.75
1,0,0,1,31,1,1,1,0,1,0,1,1,1,1,1,1,79.45,2587.7
1,0,1,0,69,1,0,1,1,1,0,0,0,0,1,1,3,53.65,3804.4
0,0,1,1,67,1,0,2,1,1,1,0,0,0,1,0,2,84.8,5598.3
1,0,1,1,51,1,0,0,0,0,0,0,0,0,2,0,3,19.55,1086.75
1,0,0,0,65,1,1,0,0,0,0,0,0,0,1,0,3,24.8,1600.95
1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,1,20.6,541.5
0,0,1,0,58,1,1,2,0,0,1,1,1,1,0,1,3,102.1,5885.4
1,1,1,0,52,1,0,2,1,0,1,1,1,1,1,1,2,104.45,5481.25
